subcategory,total_consumption_liters,total_sold
Birell,2446.5,4893
ZON Lemonade,2075.6,4508
Water,1136.1,2855
Redbull,993.25,3973
Lemonade,871.35,2063
Coffe,232.75,1855
Tea,59.35,153
Milkshake,6.72,21
Doppio,4.08,68
Čokoláda,3,12
Křupačíno,2.34,13
Křupčokoláda,0.5,2
Capri sun,0.45,3
alternativní mléko,0.21,21
Vídeň,0.18,2
přídavek,0.07,7
shot navíc,0.02,2
příchuť,0,36
