product_name,category,transaction_count,sales_count,refund_count,customer_count
VIP - Cuba Libre,Spirits,90,125,0,38
Redbull - Red,Non-Alcoholic,111,121,0,75
Doplatek soda,,55,119,0,31
Jameson + Ginger,Spirits,98,118,0,67
Gyros Box MALÝ,Salty Snacks,113,117,0,108
Pláštěnka obyčejná,Complimentary,73,115,0,67
Tortilla s trhaným,Salty Snacks,106,114,0,99
Smažák v žemli,Salty Snacks,105,113,0,97
"Sodová voda 0,3l",Non-Alcoholic,90,113,0,44
Trhané v žemli,Salty Snacks,100,110,0,97
Ledový čaj,Non-Alcoholic,97,104,0,80
"Frizzante 0,1l",Wine,42,102,0,31
Latté,Non-Alcoholic,92,98,0,77
Popcorn malý,Salty Snacks,87,97,0,79
TRHANÝ DOG,Salty Snacks,92,96,0,92
VIP - Absolut vodka,Spirits,51,94,0,26
"Lemond Apple 0,2l",Spirits,72,89,0,42
Popcorn střední,Salty Snacks,86,87,0,79
VIP - Skinny Bitch,Spirits,62,87,0,26
Přílohové hranolky,Salty Snacks,85,86,0,80
"VIP - Prosecco 0,1l",Wine,37,86,0,19
Pizza 4 kusy,Salty Snacks,79,83,-1,74
Ostatní Jihlava 32Kč/km,,79,80,0,36
"Hugo Spritz 0,2l",Wine,70,79,0,48
Lynchburg Lemonade,Spirits,64,78,0,50
Popcorn velký,Salty Snacks,66,77,0,63
Fotka,,49,75,0,42
Bramborák se zelím,Salty Snacks,69,75,0,66
"Beefeater Peach 0,04l",Spirits,43,72,0,34
Kuřecí stehno,Salty Snacks,68,69,0,64
Frappe,Non-Alcoholic,65,69,0,61
Frapé,Non-Alcoholic,62,68,0,59
Doppio,Non-Alcoholic,57,68,0,46
"Beefeater Blood Orange 0,04l",Spirits,47,66,0,32
Svítící náramky,Complimentary,24,66,0,18
Flat white,Non-Alcoholic,61,65,0,55
Silikonový blikací náramek,Complimentary,39,61,0,38
Hot dog s cibulkou,Salty Snacks,59,60,0,59
Pizza 3 kusy,Salty Snacks,58,58,0,55
"Jack Daniel's Single barrel 0,04l",Spirits,9,57,-16,4
Radler (Radek 10° + ZON),Beer,55,56,-5,28
"Gentleman Jack 0,04l",Spirits,12,56,-16,8
Shisha light,,47,56,0,37
Oxbar C800,Complimentary,50,55,0,46
KISELÁČ,Beer,49,55,0,24
Bubliny - Glera,,36,54,0,27
Espresso / lungo,Non-Alcoholic,41,52,0,38
děti,,40,51,0,0
Kamínky 1ks,Complimentary,10,50,0,10
"Mimosa 0,2l",Wine,36,48,0,29
Gulášová polévka,Salty Snacks,46,47,0,39
Hallomi,,42,47,0,41
Jihlava - Centrum,,44,45,0,23
ASIA DOG,Salty Snacks,43,44,0,43
Nabíječka,Complimentary,78,41,-41,36
Tatarka,Salty Snacks,40,41,0,40
3 dny/ osoba,,25,41,0,0
3 dny,,38,41,0,0
Hranolky / Crispers,Salty Snacks,37,41,0,35
Espresso tonic,Non-Alcoholic,36,40,0,34
VIP - Aperol Spritz,Spirits,35,39,0,22
Powerbanka,,78,39,-39,34
Basic,,35,39,0,34
Náramek,Complimentary,32,38,0,29
FRESH PORK DOG,Salty Snacks,37,38,0,37
Tortila hranolky sýr gyros,Salty Snacks,35,38,0,35
Hot dog CHEESE,Salty Snacks,37,37,0,37
příchuť,Non-Alcoholic,35,36,0,33
Flatwhite,Non-Alcoholic,33,35,0,26
CHICKEN DOG,Salty Snacks,34,35,0,33
Bún bo nam bo,Salty Snacks,33,34,0,31
Pláštěnka koule,Complimentary,27,34,0,25
1 den/ osoba,,22,33,0,0
Espresso Tonic,Non-Alcoholic,32,32,0,27
Stan,,26,31,0,0
Waffle navíc,Sweet Snacks,28,30,0,28
Kečup / tatarka,Salty Snacks,27,29,0,26
Přímé zadání,Salty Snacks,29,29,0,29
VIP - Ron de Azur,Spirits,17,28,0,11
"Stáčené víno 0,5 l",Wine,26,28,0,19
Bún nem,Salty Snacks,28,28,0,28
Čaj,Non-Alcoholic,24,28,0,16
Svítící brýle,Complimentary,24,27,0,24
VIP - Havana 3 Y.O.,Spirits,16,26,0,12
Shisha half,,25,26,0,21
Voda,,25,26,0,23
Ledová káva,Non-Alcoholic,22,26,0,21
Mezizastávka,,25,25,0,17
Halloumi v žemli,Salty Snacks,25,25,0,24
Waffle základ,Sweet Snacks,24,24,0,24
Triko,Complimentary,19,23,0,19
čaj,Non-Alcoholic,19,21,0,16
alternativní mléko,Non-Alcoholic,20,21,0,17
Milkshake,Non-Alcoholic,18,21,0,16
Placka,Complimentary,14,20,0,14
