source,total,non_alcoholic,beer,wine,spirits,salty,sweet,complimentary,ticket
external,347154300,17365100,0,19338300,4687500,198171400,8543500,12238200,0
organizer,824026400,87892100,338291300,7801000,255591000,3463000,0,5100500,68470000
