product_name,category,transaction_count,sales_count,refund_count,customer_count
Popcorn malý,Slané,87,87,0,79
Popcorn střední,Slané,86,86,0,79
Přílohové hranolky,Slané,85,85,0,80
VIP - Jack Daniel's dle nabídky,Ostatní alkohol,83,83,0,39
Ostatní Jihlava 32Kč/km,,79,79,0,36
Pizza 4 kusy,Slané,79,78,1,74
Powerbanka,,78,39,39,34
Nabíječka,Doplňkový sortiment,78,39,39,36
"Soda 0,1l",Nealko,76,76,0,47
"Coca cola 0,1l",Nealko,76,76,0,55
Pláštěnka obyčejná,Doplňkový sortiment,73,73,0,67
"Lemond Apple 0,2l",Ostatní alkohol,72,72,0,42
"Hugo Spritz 0,2l",Víno,70,70,0,48
Bramborák se zelím,Slané,69,69,0,66
Kuřecí stehno,Slané,68,68,0,64
Popcorn velký,Slané,66,66,0,63
Frappe,Nealko,65,65,0,61
Lynchburg Lemonade,Ostatní alkohol,64,64,0,50
Frapé,Nealko,62,62,0,59
VIP - Skinny Bitch,Ostatní alkohol,62,62,0,26
Flat white,Nealko,61,61,0,55
Hot dog s cibulkou,Slané,59,59,0,59
VIP - Jägermeister,Ostatní alkohol,59,59,0,22
Pizza 3 kusy,Slané,58,58,0,55
Doppio,Nealko,57,57,0,46
Doplatek soda,,55,55,0,31
Radler (Radek 10° + ZON),Pivo,55,50,5,28
VIP - Absolut vodka,Ostatní alkohol,51,51,0,26
Oxbar C800,Doplňkový sortiment,50,50,0,46
"Spritz 0,1l",Víno,50,50,0,27
Fotka,,49,49,0,42
KISELÁČ,Pivo,49,49,0,24
Shisha light,,47,47,0,37
"Beefeater Blood Orange 0,04l",Ostatní alkohol,47,47,0,32
Gulášová polévka,Slané,46,46,0,39
Jihlava - Centrum,,44,44,0,23
ASIA DOG,Slané,43,43,0,43
"Beefeater Peach 0,04l",Ostatní alkohol,43,43,0,34
"Frizzante 0,1l",Víno,42,42,0,31
Hallomi,,42,42,0,41
Espresso / lungo,Nealko,41,41,0,38
Tatarka,Slané,40,40,0,40
děti,,40,40,0,0
Silikonový blikací náramek,Doplňkový sortiment,39,39,0,38
3 dny,,38,38,0,0
Hot dog CHEESE,Slané,37,37,0,37
Hranolky / Crispers,Slané,37,37,0,35
"VIP - Prosecco 0,1l",Víno,37,37,0,19
FRESH PORK DOG,Slané,37,37,0,37
"Mimosa 0,2l",Víno,36,36,0,29
Espresso tonic,Nealko,36,36,0,34
Bubliny - Glera,,36,36,0,27
příchuť,Nealko,35,35,0,33
VIP - Aperol Spritz,Ostatní alkohol,35,35,0,22
Basic,,35,35,0,34
Tortila hranolky sýr gyros,Slané,35,35,0,35
CHICKEN DOG,Slané,34,34,0,33
Flatwhite,Nealko,33,33,0,26
Bún bo nam bo,Slané,33,33,0,31
Náramek,Doplňkový sortiment,32,32,0,29
Espresso Tonic,Nealko,32,32,0,27
"Malfy Rosa 0,04l",Ostatní alkohol,30,30,0,20
Přímé zadání,Slané,29,29,0,29
Bún nem,Slané,28,28,0,28
Waffle navíc,Sladké,28,28,0,28
Pláštěnka koule,Doplňkový sortiment,27,27,0,25
Kečup / tatarka,Slané,27,27,0,26
"Stáčené víno 0,5 l",Víno,26,26,0,19
Stan,,26,26,0,0
Halloumi v žemli,Slané,25,25,0,24
Shisha half,,25,25,0,21
Mezizastávka,,25,25,0,17
3 dny/ osoba,,25,25,0,0
Voda,,25,25,0,23
Čaj,Nealko,24,24,0,16
Svítící náramky,Doplňkový sortiment,24,24,0,18
Waffle základ,Sladké,24,24,0,24
Svítící brýle,Doplňkový sortiment,24,24,0,24
1 den/ osoba,,22,22,0,0
