category,transaction_count,sales_count,refund_count,customer_count
Pivo,41012,40752,74,7121
Nealko,17097,17058,40,6352
Ostatní alkohol,14998,14979,20,4215
Slané,12407,12403,4,6307
Víno,2503,2501,2,954
Doplňkový sortiment,1645,1605,40,1170
Sladké,834,833,1,687
